Year: 1991, Month: 6, Day: 1, Timestamp: 675734400 -> Services: 4
Year: 2021, Month: 7, Day: 1, Timestamp: 1625097600 -> Services: 20
Year: 2021, Month: 8, Day: 1, Timestamp: 1627776000 -> Services: 20
Year: 2021, Month: 9, Day: 1, Timestamp: 1630454400 -> Services: 20
Year: 2021, Month: 10, Day: 1, Timestamp: 1633046400 -> Services: 20
Year: 2021, Month: 11, Day: 1, Timestamp: 1635724800 -> Services: 20
Year: 2021, Month: 12, Day: 1, Timestamp: 1638316800 -> Services: 20
Year: 2022, Month: 1, Day: 1, Timestamp: 1640995200 -> Services: 19
Year: 2022, Month: 2, Day: 1, Timestamp: 1643673600 -> Services: 19
Year: 2022, Month: 3, Day: 1, Timestamp: 1646092800 -> Services: 19
Year: 2022, Month: 4, Day: 1, Timestamp: 1648771200 -> Services: 19
Year: 2022, Month: 5, Day: 1, Timestamp: 1651363200 -> Services: 19
Year: 2022, Month: 6, Day: 1, Timestamp: 1654041600 -> Services: 19
Year: 2022, Month: 7, Day: 1, Timestamp: 1656633600 -> Services: 19
Year: 2022, Month: 8, Day: 1, Timestamp: 1659312000 -> Services: 19
Year: 2022, Month: 9, Day: 1, Timestamp: 1661990400 -> Services: 19
Year: 2022, Month: 10, Day: 1, Timestamp: 1664582400 -> Services: 19
Year: 2022, Month: 11, Day: 1, Timestamp: 1667260800 -> Services: 19
Year: 2022, Month: 12, Day: 1, Timestamp: 1669852800 -> Services: 19
Year: 2023, Month: 1, Day: 1, Timestamp: 1672531200 -> Services: 19
Year: 2023, Month: 2, Day: 1, Timestamp: 1675209600 -> Services: 19
Year: 2023, Month: 3, Day: 1, Timestamp: 1677628800 -> Services: 19
Year: 2023, Month: 4, Day: 1, Timestamp: 1680307200 -> Services: 19
Year: 2023, Month: 5, Day: 1, Timestamp: 1682899200 -> Services: 19
Year: 2023, Month: 6, Day: 1, Timestamp: 1685577600 -> Services: 19
Year: 2023, Month: 7, Day: 1, Timestamp: 1688169600 -> Services: 19
Year: 2023, Month: 8, Day: 1, Timestamp: 1690848000 -> Services: 19
Year: 2023, Month: 9, Day: 1, Timestamp: 1693526400 -> Services: 19
Year: 2023, Month: 10, Day: 1, Timestamp: 1696118400 -> Services: 19
Year: 2023, Month: 11, Day: 1, Timestamp: 1698796800 -> Services: 19
Year: 2023, Month: 12, Day: 1, Timestamp: 1701388800 -> Services: 19
Year: 2024, Month: 1, Day: 1, Timestamp: 1704067200 -> Services: 19
Year: 2024, Month: 2, Day: 1, Timestamp: 1706745600 -> Services: 19
Year: 2024, Month: 3, Day: 1, Timestamp: 1709251200 -> Services: 19
Year: 2024, Month: 4, Day: 1, Timestamp: 1711929600 -> Services: 19
Year: 2024, Month: 5, Day: 1, Timestamp: 1714521600 -> Services: 19
Year: 2024, Month: 6, Day: 1, Timestamp: 1717200000 -> Services: 19
Year: 2024, Month: 7, Day: 1, Timestamp: 1719792000 -> Services: 19
Year: 2024, Month: 8, Day: 1, Timestamp: 1722470400 -> Services: 19
Year: 2024, Month: 9, Day: 1, Timestamp: 1725148800 -> Services: 19
Year: 2024, Month: 10, Day: 1, Timestamp: 1727740800 -> Services: 19
Year: 2024, Month: 11, Day: 1, Timestamp: 1730419200 -> Services: 19
Year: 2024, Month: 12, Day: 1, Timestamp: 1733011200 -> Services: 19
Year: 2025, Month: 1, Day: 1, Timestamp: 1735689600 -> Services: 19
